date,station,invariant,lag_minutes,lag_start_idx,lag_start_dt,corr_at_lag,pval,pval_adj,significant
2024-03-24,JUNG1,shannon_entropy,-1081.0,2,2024-03-23 18:44:00,,1.0,1.0,False
2024-03-24,JUNG1,spectral_entropy,533.0,809,2024-03-24 21:38:00,,1.0,1.0,False
2024-03-24,JUNG1,app_entropy,-1083.0,1,2024-03-23 18:42:00,,1.0,1.0,False
2024-03-24,JUNG1,hurst,-895.0,95,2024-03-23 21:50:00,,1.0,1.0,False
2024-03-24,JUNG1,dfa,-97.0,494,2024-03-24 11:08:00,,1.0,1.0,False
2024-03-24,JUNG1,mfhurst_b,-1067.0,9,2024-03-23 18:58:00,,1.0,1.0,False
2024-03-24,JUNG1,higuchi_fd,-827.0,129,2024-03-23 22:58:00,,1.0,1.0,False
2024-03-24,JUNG1,katz_fd,-251.0,417,2024-03-24 08:34:00,,1.0,1.0,False
2024-03-24,JUNG1,petrosian_fd,473.0,779,2024-03-24 20:38:00,,1.0,1.0,False
2024-03-24,JUNG1,lepel_ziv,-965.0,60,2024-03-23 20:40:00,,1.0,1.0,False
2024-03-24,JUNG1,corr_dim,-851.0,117,2024-03-23 22:34:00,,1.0,1.0,False
2024-03-24,OULU,entropy,337.0,785,2024-03-24 20:50:00,,1.0,1.0,False
2024-03-24,OULU,sampen,-1179.0,27,2024-03-23 19:34:00,,1.0,1.0,False
2024-03-24,OULU,permutation_entropy,-65.0,584,2024-03-24 14:08:00,,1.0,1.0,False
2024-03-24,OULU,shannon_entropy,-1229.0,2,2024-03-23 18:44:00,,1.0,1.0,False
2024-03-24,OULU,spectral_entropy,715.0,974,2024-03-25 03:08:00,,1.0,1.0,False
2024-03-24,OULU,app_entropy,-1231.0,1,2024-03-23 18:42:00,,1.0,1.0,False
2024-03-24,OULU,hurst,-923.0,155,2024-03-23 23:50:00,,1.0,1.0,False
2024-03-24,OULU,dfa,-811.0,211,2024-03-24 01:42:00,,1.0,1.0,False
2024-03-24,OULU,mfhurst_b,-1231.0,1,2024-03-23 18:42:00,,1.0,1.0,False
2024-03-24,OULU,higuchi_fd,-765.0,234,2024-03-24 02:28:00,,1.0,1.0,False
2024-03-24,OULU,katz_fd,-755.0,239,2024-03-24 02:38:00,,1.0,1.0,False
2024-03-24,OULU,petrosian_fd,-65.0,584,2024-03-24 14:08:00,,1.0,1.0,False
2024-03-24,OULU,lepel_ziv,-1229.0,2,2024-03-23 18:44:00,,1.0,1.0,False
2024-03-24,OULU,corr_dim,-311.0,461,2024-03-24 10:02:00,,1.0,1.0,False
2024-03-24,DOMC,entropy,485.0,783,2024-03-24 20:46:00,,1.0,1.0,False
