date,station,invariant,lag_star,rho_at_peak,corr_at_lag,pval,peak_align,pval_adj,significant
2024-05-10,DOMC,higuchi_fd,-303,-0.061629023879773745,-0.06964869590393029,0.0,-43,0.0,True
2024-05-10,DOMC,katz_fd,-142,-0.07500284904497014,-0.07977157670947707,0.0,25,0.0,True
2024-05-10,DOMC,petrosian_fd,44,0.05966370579421204,0.060897830195560665,0.001,23,0.0018333333333333335,True
2024-05-10,DOMC,corr_dim,134,0.06571951832396088,0.06949729341361299,0.0,21,0.0,True
2024-05-10,DOMC,entropy,-11,0.053013716723503135,0.053297126789399206,0.003,105,0.0033,True
2024-05-10,INVK,permutation_entropy,-65,0.06872748248352141,0.07055258155674665,0.001,201,0.0015714285714285715,True
2024-05-10,INVK,sampen,145,0.06192265970705838,0.06769360459706662,0.003,49,0.0033,True
2024-05-10,INVK,app_entropy,5,0.06529903675547807,0.06545304219643856,0.001,132,0.0011,True
2024-05-10,INVK,spectral_entropy,-222,-0.06526396721539042,-0.06882414910230776,0.001,45,0.0022,True
2024-05-10,INVK,shannon_entropy,109,-0.0695623389717156,-0.07234331325867414,0.0,-34,0.0,True
2024-05-10,INVK,lepel_ziv,-155,-0.07893088938345237,-0.08324919783092027,0.0,124,0.0,True
2024-05-10,INVK,dfa,-172,0.06111886047184206,0.06452808542513296,0.004,77,0.004888888888888889,True
2024-05-10,INVK,hurst,-23,-0.062196168057153035,-0.06254921944119642,0.001,147,0.0011,True
2024-05-10,INVK,mfhurst_b,-269,0.07074393697071867,0.07933344801644536,0.0,133,0.0,True
2024-05-10,INVK,higuchi_fd,139,0.07263229173248097,0.07694872277247257,0.001,36,0.001375,True
2024-05-10,INVK,katz_fd,88,0.059758124886507925,0.06199397633276285,0.004,20,0.004,True
2024-05-10,INVK,petrosian_fd,-207,-0.07594826887471616,-0.08145297429957504,0.0,164,0.0,True
2024-05-10,INVK,corr_dim,60,-0.07744738591021082,-0.07932252525644959,0.0,141,0.0,True
2024-05-10,INVK,entropy,61,0.0740950363052412,0.07509126153325281,0.001,26,0.0015714285714285715,True
