date,station,invariant,lag_minutes,lag_start_idx,lag_start_dt,corr_at_lag,pval,pval_adj,significant
2024-03-24,JUNG1,corr_dim,-851.0,117,2024-03-23 22:34:00,,1.0,1.0,False
2024-03-24,OULU,entropy,337.0,785,2024-03-24 20:50:00,,1.0,1.0,False
2024-03-24,OULU,sampen,-1179.0,27,2024-03-23 19:34:00,,1.0,1.0,False
2024-03-24,OULU,permutation_entropy,-65.0,584,2024-03-24 14:08:00,,1.0,1.0,False
2024-03-24,OULU,shannon_entropy,-1229.0,2,2024-03-23 18:44:00,,1.0,1.0,False
2024-03-24,OULU,spectral_entropy,715.0,974,2024-03-25 03:08:00,,1.0,1.0,False
2024-03-24,OULU,app_entropy,-1231.0,1,2024-03-23 18:42:00,,1.0,1.0,False
2024-03-24,OULU,hurst,-923.0,155,2024-03-23 23:50:00,,1.0,1.0,False
2024-03-24,OULU,dfa,-811.0,211,2024-03-24 01:42:00,,1.0,1.0,False
2024-03-24,OULU,mfhurst_b,-1231.0,1,2024-03-23 18:42:00,,1.0,1.0,False
2024-03-24,OULU,higuchi_fd,-765.0,234,2024-03-24 02:28:00,,1.0,1.0,False
2024-03-24,OULU,katz_fd,-755.0,239,2024-03-24 02:38:00,,1.0,1.0,False
2024-03-24,OULU,petrosian_fd,-65.0,584,2024-03-24 14:08:00,,1.0,1.0,False
2024-03-24,OULU,lepel_ziv,-1229.0,2,2024-03-23 18:44:00,,1.0,1.0,False
2024-03-24,OULU,corr_dim,-311.0,461,2024-03-24 10:02:00,,1.0,1.0,False
2024-03-24,DOMC,entropy,485.0,783,2024-03-24 20:46:00,,1.0,1.0,False
2024-03-24,DOMC,sampen,-985.0,48,2024-03-23 20:16:00,,1.0,1.0,False
2024-03-24,DOMC,permutation_entropy,-1053.0,14,2024-03-23 19:08:00,,1.0,1.0,False
2024-03-24,DOMC,shannon_entropy,-1015.0,33,2024-03-23 19:46:00,,1.0,1.0,False
2024-03-24,DOMC,spectral_entropy,183.0,632,2024-03-24 15:44:00,,1.0,1.0,False
2024-03-24,DOMC,app_entropy,-517.0,282,2024-03-24 04:04:00,,1.0,1.0,False
2024-03-24,DOMC,hurst,-895.0,93,2024-03-23 21:46:00,,1.0,1.0,False
2024-03-24,DOMC,dfa,-491.0,295,2024-03-24 04:30:00,,1.0,1.0,False
2024-03-24,DOMC,mfhurst_b,-969.0,56,2024-03-23 20:32:00,,1.0,1.0,False
2024-03-24,DOMC,higuchi_fd,-853.0,114,2024-03-23 22:28:00,,1.0,1.0,False
2024-03-24,DOMC,katz_fd,-845.0,118,2024-03-23 22:36:00,,1.0,1.0,False
2024-03-24,DOMC,petrosian_fd,-1063.0,9,2024-03-23 18:58:00,,1.0,1.0,False
2024-03-24,DOMC,lepel_ziv,-1075.0,3,2024-03-23 18:46:00,,1.0,1.0,False
2024-03-24,DOMC,corr_dim,-1077.0,2,2024-03-23 18:44:00,,1.0,1.0,False
2024-03-24,KIEL2,entropy,537.0,790,2024-03-24 21:00:00,,1.0,1.0,False
2024-03-24,KIEL2,sampen,-1025.0,9,2024-03-23 18:58:00,,1.0,1.0,False
2024-03-24,KIEL2,permutation_entropy,-459.0,292,2024-03-24 04:24:00,,1.0,1.0,False
