date,station,onset_idx,onset_time,invariant,lag_idx,lag_time,lag_star,corr_at_lag,pval,pval_adj,significant
2024-03-24,APTY,725,2024-03-24 18:50:00,permutation_entropy,77,2024-03-23 21:14:00,-21.6,-0.015420463357957652,0.311,0.37070000000000003,False
2024-03-24,APTY,725,2024-03-24 18:50:00,sampen,790,2024-03-24 21:00:00,2.1666666666666665,0.008871860467360878,0.397,0.49,False
2024-03-24,APTY,725,2024-03-24 18:50:00,app_entropy,514,2024-03-24 11:48:00,-7.033333333333333,0.009303576581550855,0.42,0.474,False
2024-03-24,APTY,725,2024-03-24 18:50:00,spectral_entropy,781,2024-03-24 20:42:00,1.8666666666666667,0.0370872550096715,0.142,0.427,False
2024-03-24,APTY,725,2024-03-24 18:50:00,shannon_entropy,670,2024-03-24 17:00:00,-1.8333333333333333,-0.01586074626953838,0.35,0.48124999999999996,False
2024-03-24,APTY,725,2024-03-24 18:50:00,lepel_ziv,25,2024-03-23 19:30:00,-23.333333333333332,-0.001193399196275822,0.483,0.483,False
2024-03-24,APTY,725,2024-03-24 18:50:00,dfa,0,2024-03-23 18:40:00,-24.166666666666668,-0.015434863956653234,0.287,0.4257,False
2024-03-24,APTY,725,2024-03-24 18:50:00,hurst,41,2024-03-23 20:02:00,-22.8,0.0024111742281649135,0.478,0.478,False
2024-03-24,APTY,725,2024-03-24 18:50:00,mfhurst_b,675,2024-03-24 17:10:00,-1.6666666666666667,-0.04512979139206504,0.107,0.4675,False
2024-03-24,APTY,725,2024-03-24 18:50:00,higuchi_fd,446,2024-03-24 09:32:00,-9.3,0.003034751561289475,0.479,0.479,False
2024-03-24,APTY,725,2024-03-24 18:50:00,katz_fd,12,2024-03-23 19:04:00,-23.766666666666666,0.0030442700601593527,0.458,0.475,False
2024-03-24,APTY,725,2024-03-24 18:50:00,petrosian_fd,604,2024-03-24 14:48:00,-4.033333333333333,0.057086340510898975,0.081,0.385,False
2024-03-24,APTY,725,2024-03-24 18:50:00,corr_dim,851,2024-03-24 23:02:00,4.2,0.018681665187426956,0.294,0.513,False
