invariant,median_lag,iqr_lag,sig_pct,n_stations,Rk
mfhurst_b,-0.95,5.4625,6.25,20,0.5895104166666667
katz_fd,-8.466666666666667,21.7125,0.0,20,0.5739409722222222
shannon_entropy,-4.175,16.09166666666667,0.0,20,0.5736875
app_entropy,-5.458333333333333,19.541666666666664,0.0,20,0.5693402777777778
dfa,-6.074999999999999,20.920833333333334,0.0,20,0.5679479166666666
entropy,2.55,17.95416666666667,0.0,20,0.5636145833333333
corr_dim,-1.8833333333333333,17.395833333333332,0.0,20,0.5627881944444444
spectral_entropy,2.225,18.108333333333334,0.0,20,0.5621458333333333
lepel_ziv,-4.141666666666667,20.80416666666667,0.0,20,0.5617951388888889
hurst,-4.166666666666666,21.150000000000002,0.0,20,0.5610138888888889
petrosian_fd,-0.8999999999999999,16.979166666666668,0.0,20,0.5605520833333333
higuchi_fd,-1.725,18.450000000000003,3.125,20,0.5596249999999999
sampen,-0.9416666666666667,18.129166666666666,0.0,20,0.5578159722222222
permutation_entropy,-2.8666666666666667,22.4125,0.0,20,0.5535243055555555
