date,station,onset_idx,onset_time,invariant,lag_idx,lag_time,lag_star,corr_at_lag,pval,pval_adj,significant
2024-05-10,APTY,1292,2024-05-10 22:37:00,permutation_entropy,605,2024-05-10 11:10:00,-11.45,-0.007682617388176281,0.372,0.484,False
2024-05-10,APTY,1292,2024-05-10 22:37:00,sampen,312,2024-05-10 06:17:00,-16.333333333333332,-0.003254142960217931,0.433,0.5203,False
2024-05-10,APTY,1292,2024-05-10 22:37:00,app_entropy,158,2024-05-10 03:43:00,-18.9,0.005432904024856116,0.419,0.45,False
2024-05-10,APTY,1292,2024-05-10 22:37:00,spectral_entropy,1313,2024-05-10 22:58:00,0.35,-0.022323110029858075,0.218,0.4635714285714286,False
2024-05-10,APTY,1292,2024-05-10 22:37:00,shannon_entropy,214,2024-05-10 04:39:00,-17.966666666666665,0.012731913028578474,0.291,0.45728571428571424,False
2024-05-10,APTY,1292,2024-05-10 22:37:00,lepel_ziv,51,2024-05-10 01:56:00,-20.683333333333334,0.017949160253362195,0.222,0.4455,False
2024-05-10,APTY,1292,2024-05-10 22:37:00,dfa,408,2024-05-10 07:53:00,-14.733333333333333,0.01844948286679247,0.225,0.36300000000000004,False
2024-05-10,APTY,1292,2024-05-10 22:37:00,hurst,269,2024-05-10 05:34:00,-17.05,-0.00237554484108635,0.432,0.49,False
2024-05-10,APTY,1292,2024-05-10 22:37:00,mfhurst_b,257,2024-05-10 05:22:00,-17.25,-0.01310756721997451,0.274,0.43670000000000003,False
2024-05-10,APTY,1292,2024-05-10 22:37:00,higuchi_fd,311,2024-05-10 06:16:00,-16.35,-0.018163632234891057,0.269,0.44000000000000006,False
2024-05-10,APTY,1292,2024-05-10 22:37:00,katz_fd,128,2024-05-10 03:13:00,-19.4,0.008036088736258135,0.367,0.44855555555555554,False
2024-05-10,APTY,1292,2024-05-10 22:37:00,petrosian_fd,480,2024-05-10 09:05:00,-13.533333333333333,0.004543002371245626,0.439,0.5038,False
2024-05-10,APTY,1292,2024-05-10 22:37:00,corr_dim,208,2024-05-10 04:33:00,-18.066666666666666,-0.029251119758399727,0.108,0.2511666666666667,False
