datetime_i,value_i,window_shape,entropy,permutation_entropy,higuchi,sampen,hurst,dfa,corr_dim,mfhurst_b
2023-04-23 00:00:00,213.8,60,4.094160938658383,2.523042375551558,2.115190575082499,1.4759065198095778,0.2422149081702749,0.5992833218454152,0.9378537677108364,-0.013553140761952397
2023-04-23 00:01:00,204.96,61,4.110689990585546,2.530525159853272,2.110084411353643,1.4759065198095778,0.30782423585301844,0.6158228876246217,0.9430079829964354,-0.019815968585241234
2023-04-23 00:02:00,209.83,62,4.126952375024893,2.541612846757154,2.1114481038916826,1.4759065198095778,0.30782423585301844,0.6105882300367127,0.947885917416016,-0.011637931572835322
2023-04-23 00:03:00,206.39,63,4.1429554955232275,2.5463768466766123,2.10835416902291,1.5314763709643884,0.3163069572882729,0.6121836276901106,0.9426520673167744,-0.014827695774504943
2023-04-23 00:04:00,198.21,64,4.158706183947254,2.548777828452109,2.105693712902165,1.55814461804655,0.3163069572882729,0.617593417479234,0.9523655272584586,-0.017591652628577974
2023-04-23 00:05:00,205.61,65,4.174212562205683,2.549178134038136,2.0949691241643333,1.6094379124341003,0.3082801038894744,0.6173622617559169,0.954695795733319,-0.013853946878770437
2023-04-23 00:06:00,205.91,66,4.189481444858973,2.5478716415666285,2.0915098209748435,1.6341305250244718,0.4074291450632188,0.610242114058137,0.9689758749867414,-0.0048060405447333705
2023-04-23 00:07:00,204.25,67,4.204518247553607,2.5451004089220532,2.084365984364513,1.6817585740137264,0.39172463362280463,0.6268873294687372,0.9684241180725008,-0.0011109713153509635
2023-04-23 00:08:00,208.68,68,4.2193348795438625,2.551186448450925,2.082808654437175,1.7047480922384253,0.4074291450632188,0.6303381115190536,0.9695288504081161,-0.01078012957904459
2023-04-23 00:09:00,210.24,69,4.2339314463111535,2.5474480135492774,2.08383360941829,1.7272209480904839,0.4074291450632188,0.6228897697766727,0.9649856500445098,-0.01405138011697179
2023-04-23 00:10:00,199.41,70,4.248321796357433,2.5475398845369166,2.085807301935226,1.7047480922384253,0.3802209693607644,0.6142194923770294,0.9738898614103747,-0.01768754357660604
2023-04-23 00:11:00,214.76,71,4.262507716242196,2.556882766892524,2.0878507846438374,1.7272209480904839,0.3802209693607644,0.7274767901332352,0.95205844644252,-0.022965044243957254
2023-04-23 00:12:00,208.44,72,4.276493575072783,2.5613796949735046,2.084450323021152,1.8123787564307907,0.40809209182618317,0.7263181201203188,0.9438618105938194,-0.03016810147380438
2023-04-23 00:13:00,200.7,73,4.29028773572303,2.5683026469556234,2.0869964604112776,1.7346010553881064,0.40809209182618317,0.72337809179552,0.9779660648105526,-0.032217567645955694
2023-04-23 00:14:00,200.3,74,4.303895602757774,2.5660387497207093,2.0844574386917825,1.7147984280919266,0.37504594035850297,0.7222409420676668,0.9877922847384739,-0.03484984831660108
2023-04-23 00:15:00,203.19,75,4.3173206171230785,2.565633100645281,2.088181855984766,1.7730673362159024,0.4075935595787308,0.7387142189022261,1.007847154142196,-0.03287591947439189
2023-04-23 00:16:00,202.97,76,4.330568017404199,2.5708596847231586,2.0823645160040556,1.667706820558076,0.4075935595787308,0.7069651674636347,0.9882824375589533,-0.033577702604095074
2023-04-23 00:17:00,207.57,77,4.34363409305936,2.5742800339203447,2.0735766164491958,1.6964492894237302,0.4122404000015817,0.7394020954747573,1.0025198793784806,-0.028486523099348536
2023-04-23 00:18:00,215.5,78,4.3565396344384535,2.5778634858211924,2.075706480351988,1.6625477377480489,0.2647690499183367,0.7392360197502554,0.9975285298820789,-0.028310951215858728
2023-04-23 00:19:00,200.8,79,4.369280757130365,2.5755494481673282,2.0783703397187376,1.5926307941177191,0.4213626354421844,0.7289134833371547,1.004398716829186,-0.028197246460497368
2023-04-23 00:20:00,204.84,80,4.38185845606696,2.577824547987033,2.0712690766322304,1.6582280766035324,0.506889632557499,0.7283540478098365,1.0046759444162854,-0.024660670974879343
2023-04-23 00:21:00,206.35,81,4.394279927489252,2.5773464329715456,2.070049821883163,1.6582280766035324,0.2934381099606422,0.743538737005431,1.0113077006606124,-0.020343608066813193
2023-04-23 00:22:00,204.98,82,4.406551255963026,2.575819333305358,2.068090147981869,1.6582280766035324,0.37284918467131034,0.7270035481171503,1.0154581130590166,-0.027548220187788165
2023-04-23 00:23:00,206.49,83,4.418672952612964,2.575825885606444,2.068923933122449,1.6739764335716716,0.37284918467131034,0.6041258047632553,1.0300050502887161,-0.02701883473993431
2023-04-23 00:24:00,211.8,84,4.4306511369313695,2.578872057018374,2.074448823905384,1.7452394535931621,0.3672497338950969,0.6057683741056337,1.0347881351252817,-0.02534935670596589
2023-04-23 00:25:00,202.78,85,4.442487446927845,2.578025627389123,2.070215245306899,1.7452394535931621,0.37660010853720166,0.5891663122242048,1.0415046240032697,-0.026355765701652448
2023-04-23 00:26:00,204.19,86,4.454184982720213,2.576260437131501,2.0644897260668627,1.7129785913749407,0.37660010853720166,0.5929324858746381,1.0586917792083106,-0.02570081191635367
2023-04-23 00:27:00,213.43,87,4.465747160015516,2.578391487648877,2.0567367506055003,1.7129785913749407,0.37660010853720166,0.6066026867526154,1.0635271712473655,-0.027855984830455514
2023-04-23 00:28:00,205.79,88,4.477177241248686,2.5806703425075583,2.0577783039498625,1.7609878105613013,0.37705479495407956,0.6071019881023416,1.0626913252873669,-0.02328853021157754
2023-04-23 00:29:00,203.91,89,4.488473373509497,2.5818127829555944,2.051993327052091,1.821612432377736,0.37705479495407956,0.5891858045397962,1.0652429984479679,-0.02339578502600274
2023-04-23 00:30:00,207.08,90,4.499648402033682,2.5798266149673155,2.054302379227967,1.7609878105613013,0.3603423541262433,0.5895853684263189,1.058231670065994,-0.02679048422447623
2023-04-23 00:31:00,203.83,91,4.510699052992815,2.579083078282907,2.0546663950052175,1.7609878105613013,0.4302884760050796,0.5913793018259148,1.0734660971799792,-0.02685610023483526
2023-04-23 00:32:00,208.62,92,4.521629298030334,2.5765901728459357,2.0547161036135857,1.7197859696029658,0.4302884760050796,0.5941361819203748,1.0917116773220088,-0.026665430403275084
2023-04-23 00:33:00,207.64,93,4.532441436775329,2.575261327948232,2.0572574573636304,1.6894806201076367,0.3660698467862995,0.5887020623861351,1.0927559369734359,-0.028070522770406614
