datetime,value,window_shape,entropy,sampen,permutation_entropy,shannon_entropy,spectral_entropy,app_entropy,hurst,dfa,mfhurst_b,higuchi_fd,katz_fd,petrosian_fd,lepel_ziv,corr_dim
2023-04-23 00:00:00,198.49,65,4.174288152391067,2.3978952727983707,2.5749524314293426,1.9021310214022622,0.8626916918453017,0.3437116671874598,0.6264609510643196,0.8823394040016568,-0.018971497147245584,2.106177631596445,4.362990574440194,1.0556509298918475,31,0.7793164753354916
2023-04-23 00:01:00,203.56,66,4.1895562331852565,2.3978952727983707,2.5696268035403373,1.899674621590921,0.8591298114127041,0.3384351648832724,0.6124138962496573,0.914520828342416,-0.010095987219126067,2.101572953940997,4.3257554917325205,1.0546405474261298,32,0.7754147090071335
2023-04-23 00:02:00,198.66,67,4.204594119185166,2.3978952727983707,2.5703931756506844,1.8951232325796683,0.8558160316596876,0.3622506745429108,0.6124138962496573,0.9257519683346024,-0.012674013509150402,2.0871977739070346,4.373714374588963,1.0549348072517544,32,0.7715597767917703
2023-04-23 00:03:00,200.03,68,4.219410647950535,2.4849066497880004,2.5736621895789407,1.888892772004632,0.8527567087086747,0.3775452759773028,0.6124138962496573,0.919095387499786,-0.007710601142065693,2.088845583548663,4.37314934925623,1.055214629915245,32,0.763355617203575
2023-04-23 00:04:00,202.88,69,4.234010854060109,2.5257286443082556,2.568048930894053,1.8873840806503868,0.8488483252801324,0.39835245369917827,0.6268307859289175,0.9093889567711744,-0.006933625548656362,2.0791180784371286,4.32544733958749,1.0542584600619707,32,0.7663833065345166
2023-04-23 00:05:00,200.74,70,4.2484002558355805,2.1972245773362196,2.5678378472148573,1.8828124184171626,0.8531805929390947,0.40992216784811086,0.6138876617844287,0.8969094006317064,-0.004962638956860063,2.074526445842224,4.3145075118821055,1.0545348103651389,33,0.792269843518923
2023-04-23 00:06:00,198.83,71,4.262586203427492,2.3025850929940455,2.5679403727483665,1.880662137551207,0.8524035351481901,0.4313586098424409,0.6138876617844287,0.9817071956165629,-0.0032169564139813422,2.07575697251299,4.310626640565792,1.054798191599902,33,0.7908553813179788
2023-04-23 00:07:00,202.88,72,4.276569748939319,2.367123614131617,2.5621838331745574,1.8929817909398243,0.8487236491103496,0.4407692817711224,0.5460232571935798,0.9797418346225439,-0.0038641614233105854,2.0676152506770187,4.346718073847484,1.0538911889794216,33,0.8186538933098855
2023-04-23 00:08:00,201.28,73,4.290364355896201,2.4277482359480516,2.5612526238552604,1.8873295930030787,0.8527659942197026,0.4346596886344627,0.5923668495013883,1.0093972938244051,-0.004973787993377954,2.065374562757909,4.396546550678492,1.0541515602155618,34,0.8102710970312332
2023-04-23 00:09:00,206.8,74,4.303971234434247,2.3978952727983707,2.564125334119457,1.8847280677687448,0.8451187346780862,0.465813725568458,0.5372292930433503,1.01050021366725,-0.0039748579170340494,2.0722453747894365,4.368142805737176,1.0544002231603553,34,0.817364967590846
