datetime,value,window_shape,entropy,sampen,permutation_entropy,shannon_entropy,spectral_entropy,app_entropy,hurst,dfa,mfhurst_b,higuchi_fd,katz_fd,petrosian_fd,lepel_ziv,corr_dim
2023-04-23 00:00:00,173.18,65,4.174282133165809,1.6486586255873816,2.452059612863679,1.9004862271135212,0.8788632475359192,0.3285590786988699,0.5381548874086746,0.871414595136516,0.04809566209849281,2.041821909110698,2.8143137814198673,1.0673888418619317,32,0.7429711445381612
2023-04-23 00:01:00,167.116,66,4.18955117621509,1.6486586255873816,2.4486541852647625,1.8916906121171406,0.8816726619575485,0.30943587909242787,0.5553728052646997,0.8596216611809645,0.04534685991244206,2.0358232911808263,2.8492866431593225,1.0674382431122198,33,0.7928717829249362
2023-04-23 00:02:00,167.66,67,4.20458749513376,1.6486586255873816,2.4701251573747314,1.8981784880173591,0.8797335850768695,0.3186576978222977,0.5553728052646997,0.8425910433011927,0.037292322510548,2.0391430738894614,2.8655768608412693,1.0662398921830645,33,0.8334851226649455
2023-04-23 00:03:00,165.45,68,4.21940410800883,1.6486586255873816,2.4603373716772636,1.8893004145281203,0.8828099164652438,0.30025146909401634,0.5553728052646997,0.8428872329672703,0.03508427148197749,2.0373749376302643,2.8811678174554354,1.0663014288965247,33,0.8850087489918778
2023-04-23 00:04:00,164.343,69,4.234001322582169,1.6486586255873816,2.463369605336949,1.8921704955153702,0.885737549242717,0.3254916308366491,0.5553728052646997,0.8499269968916129,0.03824992189304111,2.0413249926858335,2.9037024277815555,1.065159285942097,34,0.8081845595666993
2023-04-23 00:05:00,166.651,70,4.248387556096685,1.7227665977411035,2.4646979235041813,1.9127362830274335,0.8895362780831051,0.3325505968203073,0.5449566188287547,0.8480101589590543,0.03379514187963898,2.042014306059114,2.890971042329578,1.0640534137328945,34,0.9044705916435027
2023-04-23 00:06:00,169.757,71,4.262570914716189,1.7227665977411035,2.4614461316758494,1.9140325972462555,0.8953253176552349,0.3278224859256431,0.5449566188287547,1.0780565792772503,0.0410523432916824,2.040892994395732,2.878814649197671,1.0641409433265752,35,0.7748669684826713
2023-04-23 00:07:00,168.802,72,4.276555903257822,1.7227665977411035,2.452478108739549,1.914097314345349,0.8960463028944476,0.32322692449779833,0.6180687360795702,1.0768580506316252,0.05033409289835815,2.0376301280646154,2.861522586320567,1.0642220168883014,35,0.8391981541060857
2023-04-23 00:08:00,169.703,73,4.290349841630905,1.7227665977411035,2.4487191668250845,1.9119605947670921,0.9019754714741912,0.3187584161656418,0.5913747340877252,1.088119883586153,0.03915861018749186,2.027087668443959,2.8991679869647693,1.0642970050288219,35,0.8513785431777339
2023-04-23 00:09:00,165.516,74,4.3039569077733555,1.7227665977411035,2.439743215041505,1.904055354653463,0.9016660992389913,0.32946124768259955,0.5913747340877252,1.08744725756507,0.038069187009341136,2.0309055262552085,2.895729576649463,1.0643662538161867,36,0.7672969644786516
2023-04-23 00:10:00,168.095,75,4.31737929758057,1.7578579175523736,2.4410676417836,1.903584747543961,0.9073406895485296,0.3492411295508844,0.5401898146114821,1.07672309644799,0.03803188011397598,2.021085921288015,2.9144398773152362,1.0633512465860975,36,0.8854004384553363
2023-04-23 00:11:00,169.308,76,4.330625659920036,1.824549292051046,2.4442498906062187,1.9044997939670174,0.9085266575883705,0.34460291259518305,0.6072590739446881,1.1168284060166251,0.0375214268629922,2.028367538684819,2.915565001184966,1.0634284015484547,36,0.8675855439845848
2023-04-23 00:12:00,164.784,77,4.34369659193197,1.824549292051046,2.45583772119883,1.9032961832846993,0.9153072076193546,0.3583269869935055,0.5386217436381884,1.1225146795246452,0.04075981937177852,2.0306252483043843,2.9210129386657573,1.0635001597596114,37,0.8671545484972066
2023-04-23 00:13:00,166.315,78,4.3566001924962405,1.8562979903656263,2.452395395041814,1.907238310889603,0.9144198101894478,0.3716941347094389,0.5313062975708487,1.121092952074139,0.036784040852984035,2.027462423923977,2.96011498737303,1.063566811261842,37,0.8737902973262487
2023-04-23 00:14:00,168.415,79,4.369336732254279,1.8870696490323797,2.461724644441454,1.9225106270129162,0.9190716923728444,0.3669450966428629,0.5313062975708487,1.1089126549860526,0.03488975650649534,2.0322238086691597,3.0070976330004253,1.0636286281168417,37,0.8363883253749362
2023-04-23 00:15:00,166.665,80,4.3819167194479345,1.8870696490323797,2.4639159068276872,1.922650727079528,0.9169119131781117,0.3623158755713529,0.6093718934632626,1.1109939601892311,0.031248967934549416,2.0386941388393502,3.021305047105309,1.0636858657070838,38,0.9392196167584719
2023-04-23 00:16:00,167.345,81,4.394337971920892,1.8870696490323797,2.481298889081079,1.925302212185244,0.9203351280032899,0.35780199379644895,0.5377570860750046,1.0563324597737171,0.030978133228835213,2.0374601907348495,3.0466603544558906,1.0627606019839986,38,0.8778991368136371
2023-04-23 00:17:00,166.631,82,4.406604934406485,1.8870696490323797,2.4886028098313786,1.9371715099575006,0.9214703375379025,0.3533991939783867,0.5840294797784893,1.1067657913506115,0.02014670093871099,2.0408706674015646,3.10737917765507,1.0628248182913838,39,0.8908540491955746
2023-04-23 00:18:00,166.756,83,4.418727450358741,1.8870696490323797,2.4896861093358478,1.9356433134981963,0.9265114414864009,0.36600945454022593,0.5840294797784893,0.7434326606311334,0.01516964659798293,2.0513026287331533,3.14340290540631,1.0628846940371393,39,0.8850978748890026
2023-04-23 00:19:00,161.876,84,4.430704490260071,1.916922612182061,2.503832677453117,1.9334438723113274,0.9260567816519035,0.3616131749718945,0.5483422506657613,0.7363610932577537,0.014121571402815478,2.0576974968895745,3.1301462107690248,1.0620055020573855,40,0.8890002000128394
2023-04-23 00:20:00,168.072,85,4.44253990694231,1.916922612182061,2.4970416655735055,1.9306513462786672,0.9278103536026004,0.37382475232758416,0.5302117502792493,0.7736334888468533,0.012912336338388983,2.0514538632055994,3.114139411379027,1.0620715495143256,40,0.8903557580273862
2023-04-23 00:21:00,166.69,86,4.45423693597327,1.9459101490553135,2.498614242633926,1.9273333467057243,0.927110233211463,0.40344372103938797,0.550638876031549,0.7744235516480802,0.021748244288477152,2.048670564953743,3.0975014180807916,1.0612248717679653,40,0.8889885163165958
